VxL.x,VxL.y,VxL.z,normL,errorAileron,errorRudder,errorElevator,errorThrottle,P_des.x,P_des.y,P_des.z,P_is.x,P_is.y,P_is.z,L_is.x,L_is.y,L_is.z,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,ACMDb.x,ACMD.y,ACMDb.z
16.08629,0.000825,0.016511,0.000199,0.006454,-0.000004,-0.013078,0.500000,0.000000,0.000000,0.000000,-364.9984,-391.4641,-0.882840,0.000000,100.0000,-5.000000,-0.000013,0.001167,0.013026,0.000008,0.000004,0.013078,0.869405,0.006454,-9.758320
16.53496,-0.001779,-0.035589,0.000199,0.005239,0.000037,-0.013973,0.500000,0.000000,0.000000,0.000000,-364.9984,-390.7824,-0.883230,0.000000,100.0000,-5.000000,0.000030,0.001241,0.013917,0.000007,-0.000037,0.013973,0.866570,0.005239,-9.757677
16.89234,-0.002780,-0.055608,0.000199,0.004049,0.000054,-0.014635,0.500000,0.000000,0.000000,0.000000,-364.9984,-390.3133,-0.883460,0.000000,100.0000,-5.000000,0.000048,0.001298,0.014577,0.000006,-0.000054,0.014635,0.865788,0.004049,-9.757084
17.28504,-0.002669,-0.053396,0.000199,0.002782,0.000051,-0.015344,0.500000,0.000000,0.000000,0.000000,-364.9985,-389.8325,-0.883660,0.000000,100.0000,-5.000000,0.000047,0.001360,0.015283,0.000006,-0.000051,0.015344,0.865495,0.002782,-9.756402
17.73030,-0.002208,-0.044170,0.000199,0.001423,0.000042,-0.016155,0.500000,0.000000,0.000000,0.000000,-364.9986,-389.2902,-0.883900,0.000000,100.0000,-5.000000,0.000040,0.001431,0.016091,0.000007,-0.000042,0.016155,0.865104,0.001423,-9.755626
18.12243,-0.001241,-0.024825,0.000199,0.000562,0.000024,-0.016899,0.500000,0.000000,0.000000,0.000000,-364.9986,-388.7849,-0.884120,0.000000,100.0000,-5.000000,0.000023,0.001496,0.016832,0.000007,-0.000024,0.016899,0.864421,0.000562,-9.754942
18.60329,0.000567,0.011351,0.000199,-0.000086,-0.000011,-0.017862,0.500000,0.000000,0.000000,0.000000,-364.9986,-388.1105,-0.884450,0.000000,100.0000,-5.000000,-0.000010,0.001580,0.017792,0.000009,0.000011,0.017862,0.862664,-0.000086,-9.754135
18.88566,0.001758,0.035169,0.000199,-0.000258,-0.000035,-0.018494,0.500000,0.000000,0.000000,0.000000,-364.9986,-387.6320,-0.884720,0.000000,100.0000,-5.000000,-0.000034,0.001632,0.018422,0.000010,0.000035,0.018494,0.860515,-0.000258,-9.753692
19.17303,0.002754,0.055080,0.000199,-0.000237,-0.000055,-0.019181,0.500000,0.000000,0.000000,0.000000,-364.9986,-387.0894,-0.885040,0.000000,100.0000,-5.000000,-0.000055,0.001688,0.019106,0.000012,0.000055,0.019181,0.857292,-0.000237,-9.753287
19.43980,0.003222,0.064449,0.000199,0.000066,-0.000066,-0.020060,0.500000,0.000000,0.000000,0.000000,-364.9984,-386.2538,-0.885630,0.000000,100.0000,-5.000000,-0.000066,0.001753,0.019983,0.000014,0.000066,0.020060,0.850160,0.000066,-9.753033
19.55685,0.003136,0.062726,0.000199,0.000358,-0.000065,-0.020629,0.500000,0.000000,0.000000,0.000000,-364.9984,-385.6246,-0.886090,0.000000,100.0000,-5.000000,-0.000066,0.001790,0.020552,0.000014,0.000065,0.020629,0.844589,0.000358,-9.752947
19.63797,0.002586,0.051727,0.000199,0.000445,-0.000055,-0.021122,0.500000,0.000000,0.000000,0.000000,-364.9983,-385.0407,-0.886490,0.000000,100.0000,-5.000000,-0.000055,0.001821,0.021043,0.000013,0.000055,0.021122,0.839701,0.000445,-9.752874
19.73758,0.001835,0.036716,0.000199,0.000333,-0.000039,-0.021636,0.500000,0.000000,0.000000,0.000000,-364.9983,-384.4455,-0.886860,0.000000,100.0000,-5.000000,-0.000040,0.001855,0.021556,0.000013,0.000039,0.021636,0.835205,0.000333,-9.752746
19.84702,0.000984,0.019693,0.000199,0.000022,-0.000022,-0.022162,0.500000,0.000000,0.000000,0.000000,-364.9982,-383.8390,-0.887210,0.000000,100.0000,-5.000000,-0.000022,0.001889,0.022082,0.000012,0.000022,0.022162,0.831099,0.000022,-9.752570
20.07150,0.000056,0.001134,0.000199,-0.000876,-0.000003,-0.023025,0.500000,0.000000,0.000000,0.000000,-364.9981,-382.9082,-0.887729,0.000000,100.0000,-5.000000,-0.000001,0.001950,0.022943,0.000013,0.000003,0.023025,0.825625,-0.000876,-9.752172
20.23714,-0.000283,-0.005670,0.000199,-0.001566,0.000002,-0.023665,0.500000,0.000000,0.000000,0.000000,-364.9982,-382.2097,-0.888130,0.000000,100.0000,-5.000000,0.000006,0.001996,0.023581,0.000013,-0.000002,0.023665,0.821716,-0.001566,-9.751861
20.37567,-0.000135,-0.002701,0.000199,-0.002245,-0.000002,-0.024277,0.500000,0.000000,0.000000,0.000000,-364.9982,-381.4979,-0.888550,0.000000,100.0000,-5.000000,0.000003,0.002037,0.024191,0.000014,0.000002,0.024277,0.817806,-0.002245,-9.751576
20.54105,0.000666,0.013323,0.000199,-0.002908,-0.000023,-0.025047,0.500000,0.000000,0.000000,0.000000,-364.9982,-380.5728,-0.889110,0.000000,100.0000,-5.000000,-0.000016,0.002089,0.024960,0.000016,0.000023,0.025047,0.812138,-0.002908,-9.751279
20.58662,0.001138,0.022762,0.000199,-0.003092,-0.000036,-0.025347,0.500000,0.000000,0.000000,0.000000,-364.9981,-380.1698,-0.889380,0.000000,100.0000,-5.000000,-0.000028,0.002108,0.025260,0.000017,0.000036,0.025347,0.809402,-0.003092,-9.751204
20.61474,0.002189,0.043798,0.000199,-0.003357,-0.000064,-0.025951,0.500000,0.000000,0.000000,0.000000,-364.9981,-379.2142,-0.890040,0.000000,100.0000,-5.000000,-0.000055,0.002140,0.025863,0.000018,0.000064,0.025951,0.802559,-0.003357,-9.751164
20.58849,0.002564,0.051296,0.000199,-0.003249,-0.000074,-0.026362,0.500000,0.000000,0.000000,0.000000,-364.9981,-378.4486,-0.890570,0.000000,100.0000,-5.000000,-0.000065,0.002159,0.026273,0.000018,0.000074,0.026362,0.796888,-0.003249,-9.751219
20.51489,0.003026,0.060522,0.000199,-0.003138,-0.000087,-0.026746,0.500000,0.000000,0.000000,0.000000,-364.9980,-377.5986,-0.891140,0.000000,100.0000,-5.000000,-0.000078,0.002172,0.026658,0.000017,0.000087,0.026746,0.790336,-0.003138,-9.751365
20.40172,0.003252,0.065057,0.000199,-0.002936,-0.000094,-0.027072,0.500000,0.000000,0.000000,0.000000,-364.9979,-376.7334,-0.891710,0.000000,100.0000,-5.000000,-0.000086,0.002179,0.026985,0.000017,0.000094,0.027072,0.783394,-0.002936,-9.751598
20.29928,0.002807,0.056157,0.000199,-0.002849,-0.000084,-0.027327,0.500000,0.000000,0.000000,0.000000,-364.9978,-376.0007,-0.892190,0.000000,100.0000,-5.000000,-0.000075,0.002184,0.027239,0.000017,0.000084,0.027327,0.777722,-0.002849,-9.751798
20.20441,0.002544,0.050880,0.000199,-0.002855,-0.000077,-0.027585,0.500000,0.000000,0.000000,0.000000,-364.9978,-375.2575,-0.892680,0.000000,100.0000,-5.000000,-0.000069,0.002189,0.027499,0.000018,0.000077,0.027585,0.771953,-0.002855,-9.751995
20.01196,0.002187,0.043754,0.000199,-0.002962,-0.000069,-0.027779,0.500000,0.000000,0.000000,0.000000,-364.9977,-374.3518,-0.893280,0.000000,100.0000,-5.000000,-0.000060,0.002183,0.027694,0.000017,0.000069,0.027779,0.764911,-0.002962,-9.752355
19.83931,0.002185,0.043701,0.000199,-0.003058,-0.000070,-0.028027,0.500000,0.000000,0.000000,0.000000,-364.9977,-373.3539,-0.893880,0.000000,100.0000,-5.000000,-0.000061,0.002182,0.027942,0.000016,0.000070,0.028027,0.758258,-0.003058,-9.752625
19.74593,0.002374,0.047489,0.000199,-0.003247,-0.000077,-0.028304,0.500000,0.000000,0.000000,0.000000,-364.9976,-372.4957,-0.894360,0.000000,100.0000,-5.000000,-0.000068,0.002188,0.028219,0.000015,0.000077,0.028304,0.753367,-0.003247,-9.752727
19.69742,0.002510,0.050203,0.000199,-0.003242,-0.000082,-0.028601,0.500000,0.000000,0.000000,0.000000,-364.9975,-371.7048,-0.894780,0.000000,100.0000,-5.000000,-0.000072,0.002199,0.028517,0.000015,0.000082,0.028601,0.749357,-0.003242,-9.752737
19.67400,0.002638,0.052764,0.000199,-0.003335,-0.000087,-0.028860,0.500000,0.000000,0.000000,0.000000,-364.9975,-371.0648,-0.895120,0.000000,100.0000,-5.000000,-0.000077,0.002210,0.028775,0.000015,0.000087,0.028860,0.746325,-0.003335,-9.752710
19.64849,0.002787,0.055744,0.000199,-0.003329,-0.000093,-0.029331,0.500000,0.000000,0.000000,0.000000,-364.9974,-369.9290,-0.895740,0.000000,100.0000,-5.000000,-0.000083,0.002232,0.029246,0.000016,0.000093,0.029331,0.741239,-0.003329,-9.752625
19.57000,0.003275,0.065518,0.000199,-0.003216,-0.000109,-0.029608,0.500000,0.000000,0.000000,0.000000,-364.9973,-369.0228,-0.896250,0.000000,100.0000,-5.000000,-0.000099,0.002240,0.029524,0.000016,0.000109,0.029608,0.736837,-0.003216,-9.752681
19.42397,0.004418,0.088368,0.000199,-0.002984,-0.000145,-0.029813,0.500000,0.000000,0.000000,0.000000,-364.9973,-368.0204,-0.896790,0.000000,100.0000,-5.000000,-0.000135,0.002239,0.029729,0.000015,0.000145,0.029813,0.731652,-0.002984,-9.752864
19.31933,0.004340,0.086804,0.000199,-0.002791,-0.000143,-0.029863,0.500000,0.000000,0.000000,0.000000,-364.9972,-367.5137,-0.897040,0.000000,100.0000,-5.000000,-0.000134,0.002233,0.029779,0.000014,0.000143,0.029863,0.729107,-0.002791,-9.753005
19.23032,0.004382,0.087648,0.000199,-0.002398,-0.000145,-0.030142,0.500000,0.000000,0.000000,0.000000,-364.9971,-366.4897,-0.897510,0.000000,100.0000,-5.000000,-0.000137,0.002240,0.030059,0.000014,0.000145,0.030142,0.724704,-0.002398,-9.753054
19.17540,0.004216,0.084334,0.000199,-0.002109,-0.000140,-0.030401,0.500000,0.000000,0.000000,0.000000,-364.9969,-365.6256,-0.897930,0.000000,100.0000,-5.000000,-0.000133,0.002249,0.030318,0.000015,0.000140,0.030401,0.720793,-0.002109,-9.753084
19.06704,0.004001,0.080023,0.000199,-0.001822,-0.000134,-0.030570,0.500000,0.000000,0.000000,0.000000,-364.9969,-364.7516,-0.898400,0.000000,100.0000,-5.000000,-0.000128,0.002249,0.030487,0.000016,0.000134,0.030570,0.716489,-0.001822,-9.753231
18.88105,0.004195,0.083904,0.000199,-0.001619,-0.000142,-0.030641,0.500000,0.000000,0.000000,0.000000,-364.9968,-363.7789,-0.898950,0.000000,100.0000,-5.000000,-0.000136,0.002239,0.030559,0.000016,0.000142,0.030641,0.711499,-0.001619,-9.753524
18.61422,0.004341,0.086839,0.000199,-0.001319,-0.000147,-0.030604,0.500000,0.000000,0.000000,0.000000,-364.9967,-362.7043,-0.899529,0.000000,100.0000,-5.000000,-0.000142,0.002217,0.030523,0.000016,0.000147,0.030604,0.705628,-0.001319,-9.753987
18.21112,0.004795,0.095914,0.000199,-0.001010,-0.000164,-0.030389,0.500000,0.000000,0.000000,0.000000,-364.9966,-361.4331,-0.900239,0.000000,100.0000,-5.000000,-0.000160,0.002177,0.030311,0.000016,0.000164,0.030389,0.697409,-0.001010,-9.754789
17.96506,0.005272,0.105456,0.000199,-0.000797,-0.000180,-0.030199,0.500000,0.000000,0.000000,0.000000,-364.9965,-360.7904,-0.900580,0.000000,100.0000,-5.000000,-0.000177,0.002150,0.030122,0.000015,0.000180,0.030199,0.693298,-0.000797,-9.755273
17.61112,0.006115,0.122312,0.000199,-0.000181,-0.000209,-0.029941,0.500000,0.000000,0.000000,0.000000,-364.9963,-359.7710,-0.901120,0.000000,100.0000,-5.000000,-0.000208,0.002112,0.029866,0.000015,0.000209,0.029941,0.686937,-0.000181,-9.755979
17.22491,0.006812,0.136243,0.000199,0.000625,-0.000233,-0.029642,0.500000,0.000000,0.000000,0.000000,-364.9962,-358.6459,-0.901660,0.000000,100.0000,-5.000000,-0.000234,0.002070,0.029569,0.000012,0.000233,0.029642,0.680965,0.000625,-9.756695
17.03080,0.007246,0.144936,0.000199,0.001325,-0.000248,-0.029571,0.500000,0.000000,0.000000,0.000000,-364.9960,-357.7931,-0.902000,0.000000,100.0000,-5.000000,-0.000251,0.002053,0.029500,0.000011,0.000248,0.029571,0.677441,0.001325,-9.757010
16.93661,0.007239,0.144788,0.000199,0.002205,-0.000248,-0.029726,0.500000,0.000000,0.000000,0.000000,-364.9958,-356.7404,-0.902440,0.000000,100.0000,-5.000000,-0.000254,0.002055,0.029655,0.000012,0.000248,0.029726,0.673919,0.002205,-9.757098
16.89080,0.007275,0.145515,0.000199,0.002990,-0.000250,-0.029962,0.500000,0.000000,0.000000,0.000000,-364.9957,-355.6763,-0.902919,0.000000,100.0000,-5.000000,-0.000258,0.002063,0.029891,0.000013,0.000250,0.029962,0.671277,0.002990,-9.757044
16.80699,0.007021,0.140428,0.000199,0.003764,-0.000241,-0.030126,0.500000,0.000000,0.000000,0.000000,-364.9955,-354.6011,-0.903380,0.000000,100.0000,-5.000000,-0.000251,0.002066,0.030055,0.000011,0.000241,0.030126,0.669024,0.003764,-9.757032
16.71465,0.006953,0.139071,0.000199,0.004252,-0.000239,-0.030186,0.500000,0.000000,0.000000,0.000000,-364.9954,-353.8120,-0.903660,0.000000,100.0000,-5.000000,-0.000251,0.002063,0.030116,0.000009,0.000239,0.030186,0.667358,0.004252,-9.757088
